category,subtype,market_tier,condition,is_premium_brand,tech_generation,brand,confidence,printer_tech,is_color,is_multifunction,paper_size_max,ppm,pack_count,is_xl,ups_capacity_value,ups_capacity_unit,is_rackmount,rack_u,power_capacity_value,power_capacity_unit,audio_channels,total_power_w,has_dolby_atmos,has_subwoofer,has_anc,form_factor,mic_type,audio_resolution,video_output_res,switch_type,dpi,has_screen,is_thunderbolt,max_resolution,read_speed_mbs,scan_engine,wifi_standard,speed_class,node_count,frequency_bands,has_poe,multi_gig_ports,power_source,smart_protocol,is_outdoor,screen_size_in,resolution_standard,panel_tech,refresh_rate_hz,is_smart,mount_type,adjustment_type,num_screens,max_weight_kg,is_heavy_duty,sensor_format,max_video_res,is_body_only,mount_system,megapixels,is_pro_line,focal_range,max_aperture_f,is_kit,component_series,vram_gb,has_x3d,ram_gb,storage_gb,tech_gen,power_wattage,efficiency_rating,chipset,is_aio,is_gaming,platform_family,is_digital_edition,nas_bays,model_name,cellular_type,has_stylus,case_size_mm,is_rugged,is_specialized,gps_activity,has_touchscreen,cable_length_m,interface_type,is_braided,material,brand_compatibility,is_active,is_original,connector_gender,is_wireless,port_count,storage_type,pd_wattage,model_used,original_title,original_row_id
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,DYMO,0.95,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"DYMO Authentic LW Shipping Labels, DYMO Labels for LabelWriter Label Printers, 2-1/8"" x 4"", 1 Roll of 220",824
Mobile Devices,smartwatch,Mainstream,New,True,Current-Gen,Fitbit,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charge 6,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Fitbit Charge 6 Fitness Tracker Smartwatch with Heart Rate, GPS, Health Tools and More Obsidian/Black Bundle with Cleaning Cloth and Charger",825
Accessories,excluded,Mainstream,New,False,Current-Gen,GoPro,0.9,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,GoPro Enduro Rechargeable Battery 2-Pack (HERO13 Black) - Official Accessory,826
"Cameras, Photography & Video",mirrorless_dslr,Premium,New,True,Current-Gen,Sony,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full-Frame,4K,,,,,,,,,,,,,,,,,,,,,,Alpha 7S III,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Sony NEW Alpha 7S III Full-frame Interchangeable Lens Mirrorless Camera,827
Computers & Gaming,laptop,Mainstream,New,False,Current-Gen,HP,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,FHD_1080p,,144.0,,,,,,,,,,,,,,,,AMD Ryzen 5-7535HS + AMD Radeon RX 6550M,,,16.0,512.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"HP Victus 15.6"" FHD 144Hz Gaming Laptop, AMD Ryzen 5-7535HS, AMD Radeon RX 6550M (Beats RTX 2050), Backlit Keyboard, Windows 11 Home, w/Cloth (16GB RAM |512GB PCIe SSD)",828
Computers & Gaming,laptop,Mainstream,New,False,Current-Gen,Lenovo,0.95,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,15.6,FHD_1080p,,,,,,,,,,,,,,,,,,Intel Core i5-13420H,,,16.0,512.0,,,,,,,,,,V15 Gen 4,,,,,,,,,,,,,,,,,,SSD,,gpt-4o-mini,"Lenovo V15 Gen 4 Business Laptop, 15.6"" FHD Display, Intel Core i5-13420H (Beat i7-1355U), HDMI, RJ45, Webcam, Numeric Keypad, Wi-Fi, Windows 11 Pro, Black (16GB RAM | 512GB SSD)",829
Audio & Media Systems,soundbar,Mainstream,New,False,Current-Gen,VIZIO,0.95,,,,,,,,,,,,,,2.0,,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,"VIZIO V-Series 2.0 Compact Sound Bar with Dolby Audio, DTS:X, Bluetooth V20x-J8",830
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,HP,1.0,,False,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,HP 143AD | W1143AD | Toner | Black Reload Kit | 2 Pack,831
Displays & Mounting,tv,Mainstream,New,True,Current-Gen,Sony,0.95,,,,,,,,,,,,,,,,,,,,,,1080p,,,,,,,,,,,,,,,,,32.0,FHD_1080p,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W830K,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Sony 32 Inch 720p HD LED HDR TV W830K Series with Google TV and Google Assistant-2022 Model, Black",832
Computers & Gaming,external_drive,Mainstream,New,False,Current-Gen,WD_BLACK,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,HDD,,gpt-4o-mini,"WD_BLACK 6TB P10 Game Drive, Portable External Hard Drive, Works with PlayStation, Xbox, & PC - WDBZ7D0060BBK-WESN",833
"Office, Printing & Power",battery,Mainstream,New,False,Current-Gen,PHILIPS,0.95,,,,,,4.0,,,,,,9.0,Wh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"PHILIPS 9V Batteries - Power Alkaline 9 Volt Battery 4 Pack, Long Lasting Power Up to 5 Years in Storage, 9v Batteries Leak Proof Design, All Purpose 9volt for All Your Household & Office Needs.",834
Out of Scope,excluded,Mainstream,New,False,Current-Gen,STEALTH CAM,0.9,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"STEALTH CAM SD Card - High-Speed Data Transferring Storage Game Trail Hunting Scouting Photo Video Recording Cameras, 32GB SD Card (2 Pack)",835
Audio & Media Systems,earbuds,Mainstream,New,True,Current-Gen,JBL,0.95,,,,,,,,,,,,,,,,,,True,in-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,"JBL Live Pro 2 - True Wireless Noise Cancelling Earbuds, up to 40 Hours of Playback with Wireless Charging, 6 mics for Perfect Calls, Touch & Voice Control, IPX5 Water Resistant (Silver)",836
"Office, Printing & Power",charger,Mainstream,New,False,Current-Gen,LISEN,0.9,,,,,,2.0,,,,,,54.0,W,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,USB-C,,Metal,iPhone,,,M-to-F,,,,54.0,gpt-4o-mini,"LISEN Super Fast iPhone 16 Car Charger USB C [Alloy] 2 Pack 54W iPhone 15 Type C Car Charger Fast Charging Cigarette Lighter Adapter for 17 iPhone 16e Pro Max Plus/15,Samsung Galaxy Z Fold 7 S25 Ultra",837
"Office, Printing & Power",excluded,Mainstream,New,False,Current-Gen,AT&T,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"AT&T ML17939 2-Line Corded Telephone with Digital Answering System and Caller ID/Call Waiting, Black/Silver",838
Networking & Smart Home,switch,Mainstream,New,False,Current-Gen,TP-Link,0.95,,,,,,,,,,,,,,,123.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,gpt-4o-mini,"TP-Link TL-SG1210MP, 8 Port Gigabit PoE Switch, 8 PoE+ Ports @123W, w/ 2 Uplink Gigabit Ports + 1 Combo SFP Slot, Plug & Play, Extend, Priority & Isolation Mode,",839
Networking & Smart Home,mesh_system,Mainstream,New,False,Current-Gen,TP-Link,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi_5_AC,AC1300,,Dual-Band,,,Wired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,gpt-4o-mini,"TP-Link Powerline WiFi Extender TL-WPA8631P KIT- Includes AV1300 Powerline Network Adapter and AC1200 Dual Band Extender, 2x2 MIMO, 3 Gigabit Ports, Passthrough, Plug & Play, Free Expert Support",840
Peripherals & Input,keyboard,Mainstream,New,True,Current-Gen,Razer,0.95,,,,,,,,,,,,,,,,,,,,,,,Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Razer Huntsman Mini 60% Gaming Keyboard: Fast Keyboard Switches - Clicky Optical Switches - Chroma RGB Lighting - PBT Keycaps - Onboard Memory - Snap Tap - White,841
PC Components (Core),ssd_internal,Mainstream,New,False,Current-Gen,Synology,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NVMe,,,,400.0,,,,,,,,,,SNV3410,,,,,,,,,,,,,,,,,,NVMe,,gpt-4o-mini,Synology M.2 2280 NVMe SSD SNV3410 400GB (SNV3410-400G),842
Peripherals & Input,dock_hub,Mainstream,New,False,Current-Gen,UGREEN,0.95,,,,,,,,,,,,,,,100.0,,,,,,,4K_UHD,,,,,4K60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB-C 3.2,,,"Mac M1, M2, M3, iPad, iPhone 16 Pro/Pro Max, Steam Deck",,,,,,,100.0,gpt-4o-mini,"UGREEN Revodok Pro 6 in 1 USB C Hub Gigabit Ethernet Adapter with 4K 60Hz HDMI, 100W PD Charging, 10Gbps USB A&C 3.2 Data Ports Compatible with Mac M1, M2, M3, iPad, iPhone 16 Pro/Pro Max, Steam Deck",843
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,Brother,0.95,,True,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Brother Genuine Cyan, Magenta and Yellow Toner Cartridge Set, TN223C, TN223M, TN223Y",844
Audio & Media Systems,speaker,Mainstream,New,False,Current-Gen,Anker,0.95,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Anker SoundCore 2 Portable Bluetooth Speaker, Wireless, Enhanced Bass, 24-Hour Playtime, 66ft Range, IPX7 Water Resistant, Built-in Mic, Ideal for Travel, Compact and Easy to Use - Red",845
Peripherals & Input,external_drive,Mainstream,New,False,Current-Gen,PNY,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.0,,,,,,,,,,,,,,,,,,,USB 3.2 Gen 2 Type-C & Type-A,,,,,,,,,Flash,,gpt-4o-mini,PNY 1TB Duo Link V3 USB 3.2 Gen 2 Type-C & Type-A OTG Flash Drive Extreme Speeds Read/Write 1000/800MB/s External Mobile Storage Compatible with Smartphone/Tablet/Laptops/Desktops,846
Peripherals & Input,mouse,Mainstream,New,False,Current-Gen,SteelSeries,0.95,,,,,,,,,,,,,,,,,,,,,,,,8500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,SteelSeries Rival 3 Gen 2 Gaming Mouse — 8500 DPI TrueMove Core Optical Sensor — 60 Million Click Durability — Low Latency — 77g Lightweight — 100% PTFE Feet — RGB — Black,847
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,Brother,0.95,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Brother LC3019 Super High Yield Ink Cartridge Set,848
Computers & Gaming,laptop,Mainstream,New,False,Current-Gen,HP,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,Intel Celeron N4120,,,4.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120 Processor, 4GB RAM, 64GB Storage, Intel HD Graphics, 720p Webcam, 1 Year Office 365, Pink, Win 11 S, 32GB Hotface USB Card",849
Peripherals & Input,mouse,Mainstream,New,True,Current-Gen,Razer,0.95,,,,,,,,,,,,,,,,,,,,,,,Optical,35000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,False,,,,gpt-4o-mini,Razer Basilisk V3 35K Wired Ergonomic Gaming Mouse : HyperScroll Tilt Wheel - 35K DPI Optical Sensor Gen 2-13 Customizable Controls - Chroma RGB - Optical Switches Gen 3 - Speedflex Cable,850
Out of Scope,excluded,Mainstream,New,False,Current-Gen,Muddy,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Muddy Basic Trail Camera Arm with Pan Head for Precision Game Cam Positioning,851
"Office, Printing & Power",calculator,Mainstream,New,False,Current-Gen,Texas Instruments,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Texas Instruments TI-108 Elementary Calculator,852
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,EPSON,0.95,,False,,,,2.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WorkForce WF-2630, WF-2650, WF-2660, WF-2750, WF-2760, Expression XP-320, XP-420, XP-424",,,,,,,,gpt-4o-mini,"EPSON 220 DURABrite Ultra Ink Standard Capacity Black Dual Cartridge Pack (T220120-D2) Works with WorkForce WF-2630, WF-2650, WF-2660, WF-2750, WF-2760, Expression XP-320, XP-420, XP-424",853
Out of Scope,excluded,Mainstream,New,False,Current-Gen,La Crosse,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"La Crosse 911-65557-INT Portable Digital Battery Tester,Black",854
Audio & Media Systems,speaker,Mainstream,New,False,Current-Gen,Polk,0.95,,,,,,,,,,,,,,2.1,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Polk Monitor XT35 Slim Center Channel Speaker - Hi-Res Audio Certified, Dolby Atmos & DTS:X Compatible, 1"" Terylene Tweeter & Four 3"" Dynamically Balanced Woofer, Wall-Mountable, Midnight Black",855
Mobile Devices,smartwatch,Mainstream,New,True,Current-Gen,Garmin,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Venu 2S,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Garmin Venu 2S, Smaller-sized GPS Smartwatch with Advanced Health Monitoring and Fitness Features, Rose Gold Bezel with White Case and Silicone Band",856
"Office, Printing & Power",rack_component,Mainstream,New,False,Current-Gen,StarTech.com,0.95,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"StarTech.com 1U 4-Post Adjustable Vented Server Rack Mount Shelf - 330lbs(150 kg) - 19.5 to 38in Adjustable Mounting Depth Universal Tray 19"" AV/ Network Equipment Rack - 27.5in Deep (ADJSHELFHDV)",857
Accessories,mount_small,Mainstream,New,False,Current-Gen,ESR,0.95,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,desk_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"ESR for MagSafe Car Mount, Car Phone Holder,Dashboard/Tesla Touchscreen Car Mount, Magnetic Phone Holder for Car, for iPhone 16/16e/15/14/13/12, S25, Charging Not Supported(2 Metal Rings Included)",858
"Cameras, Photography & Video",excluded,Mainstream,New,False,Current-Gen,NEEWER,0.9,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"NEEWER HB80C RGBWW LED Video Light with Built-in 72Wh Battery & 100W PD Fast Charging, 80W Mini RGB COB Continuous Output Lighting Bowens Mount Handheld Spotlight 2500K-7500K, 10400lux/m, 18 Effects",859
PC Components (Core),excluded,Mainstream,New,False,Current-Gen,Lian Li,0.9,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Lian Li UNI Fan SL-Infinity Wireless - 120 Single Pack - 2.4 GHz Wireless Signal Control - ARGB Fan - Double Infinity Mirror - Low Noise - Controller NOT Included & Required - Black (12SLIN1W1B),860
Out of Scope,excluded,Mainstream,New,False,Legacy,Mercer Culinary,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Mercer Culinary M20003 Genesis 3.5-Inch Paring Knife,Black",861
"Office, Printing & Power",excluded,Mainstream,New,False,Current-Gen,Pyramex,0.9,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Pyramex Safety Individually Packaged Lens Cleaning Towelettes, No Streaks, 100 Piece",862
Networking & Smart Home,router,Mainstream,New,False,Current-Gen,Motorola,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi_5_AC,AC1900,,Dual-Band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Motorola MT7711 24X8 Cable Modem/Router with Two Phone Ports, DOCSIS 3.0 Modem, and AC1900 Dual Band WiFi Gigabit Router, for Comcast XFINITY Internet and Voice",863
"Office, Printing & Power",toner_ink,Mainstream,New,True,Current-Gen,Canon,0.95,Inkjet,False,False,A4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Canon CLI-251XL Genuine Black Ink Tank, Compatible with MG6320, IP7220 & MG5420, MX922, MG5520, MG6420, MG7120, iX6820, iP8720, MG7520, MG6620, and MG5620 Printers",864
Computers & Gaming,laptop,Premium,New,True,Current-Gen,MSI,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi_7_BE,,,,,,,,,16.0,QHD_1440p,,240.0,,,,,,,,,,,,,,,,"Intel Core Ultra 9-275HX, NVIDIA Geforce RTX 5070Ti",,,16.0,1024.0,,,,,,True,,,,Vector 16 HX AI,,,,,,,,,,,,,,,,,,NVMe,,gpt-4o-mini,"MSI Vector 16 HX AI 16” 240Hz QHD+ Gaming Laptop: Intel Core Ultra 9-275HX, NVIDIA Geforce RTX 5070Ti, 16GB DDR5, 1TB NVMe SSD, Thunderbolt 5, Wi-Fi 7, Win 11 Home: Cosmo Gray A2XWHG-211US",865
Out of Scope,excluded,Mainstream,New,False,Current-Gen,Peak Design,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Peak Design Travel Backpack 45L, Black, Expandable 35-45L Design, Rear and Top Access, Weatherproof Shell, Laptop Sleeve, Ideal for Travel or Everyday Carry, Versatile Backpack for Men and Women",866
PC Components (Core),excluded,Mainstream,New,False,Current-Gen,Cooler Master,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,Cooler Master N200 - Mini Tower Computer Case with Fully Meshed Front Panel and mATX/Mini-ITX Support,867
Mobile Devices,fitness_band,Mainstream,New,False,Current-Gen,Xiaomi,0.95,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smart Band 9 Active,,,,,,,True,,,,,,,,,,,,,gpt-4o-mini,Xiaomi Smart Band 9 Active Global Version 1.47'' Display 18-Day Battery Life Modes All-Day Health and Fitness Monitoring 5ATM (Black),868
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,Epson,0.95,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Workforce WF-2930, WF-2950, Expression XP-4200, XP-4205",,,,,,,,gpt-4o-mini,"Epson 232 Claria Ink Standard Capacity Magenta Cartridge (T232320-S) Works with Workforce WF-2930, WF-2950, Expression XP-4200, XP-4205",869
Peripherals & Input,keyboard,Mainstream,New,False,Current-Gen,8BitDo,0.95,,,,,,,,,,,,,,,,,,,,,,,Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,USB-C,,,,,,,True,,,,gpt-4o-mini,"8BitDo Retro 108 Mechanical Keyboard with 108 Keys and Integrated Numpad, Bluetooth/2.4G/USB-C Hot Swappable Wireless Gaming Keyboard for Windows and Android - N Edition",870
Accessories,mount_small,Mainstream,New,True,Current-Gen,OtterBox,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,desk_arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plastic,MagSafe,,,,,,,,gpt-4o-mini,OtterBox Performance Car Dash & Windshield Mount for MagSafe - Black,871
"Office, Printing & Power",charger,Mainstream,New,True,Current-Gen,Dell,0.95,,,,,,,,,,,,240.0,W,,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Dell GaN Laptop Charger 240W Watt Barrel 7.4mm tip AC Power Adapter - Precision 7670 7680 7770 7780,Alienware M15 R7,X16,X17 R2,X15 R2,M17 R5",872
Peripherals & Input,dock_hub,Mainstream,New,False,Current-Gen,StarTech.com,0.95,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB Type-C,,,,,,,,,,100.0,gpt-4o-mini,"StarTech.com USB C Dock - Triple 4K Monitor USB Type-C Docking Station - 100W Power Delivery - DP 1.4 Alt Mode & DSC, 2X DisplayPort 1.4/HDMI 2.0-6xUSB (2X 10Gbps), SD - Windows/Chrome (DK31C2DHSPD)",873
Audio & Media Systems,speaker,Mainstream,New,False,Current-Gen,Monster,0.95,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,gpt-4o-mini,"Monster Bluetooth Speaker, IPX8 Shower Speaker Waterproof, Bluetooth 5.4 with Loud HD Sound and Robust Bass, Extra Long Playtime Punchy, for Home, Beaches Portable Wireless Outdoor Speakers",874
"Cameras, Photography & Video",security_cam,Mainstream,New,False,Current-Gen,Lorex,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Lorex 2K Indoor WiFi Security Camera for Home, Pet Cam, Baby Cam - Mobile App, IR Night Vision, Person Detection & 2 Way Talk - Free 16GB Micro SD",875
Displays & Mounting,monitor,Mainstream,New,True,Current-Gen,SAMSUNG,1.0,,,,,,,,,,,,,,,,,,,,,,4K_UHD,,,True,,4K60,,,,,,,,,,,,32.0,4K_UHD,,,,,Gas-Spring,1.0,,,,4K,,,,,,,,,,,,,,,,,,,,,,ViewFinity S8 (S80D),,,,,,,,,"HDMI, DisplayPort, USB-A",,,,,,,,3.0,,,gpt-4o-mini,"SAMSUNG 32"" ViewFinity S8 (S80D) Series 4K UHD High Resolution Computer Monitor, HDR10, Multiple Ports w/ HDMI, DisplayPort, USB-A, Height Adjustable Stand, LS32D806EANXGO, 2024, 3Yr Warranty",876
Computers & Gaming,laptop,Mainstream,New,False,Current-Gen,Lenovo,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,FHD_1080p,OLED,,,,,,,,,,,,,,,,,Core Ultra 7,,,16.0,1024.0,,,,,,,,,,Slim 7i Aura Edition,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Lenovo Slim 7i Aura Edition - 2025 - Copilot+ PC - Core Ultra 7 Processor 256V - 14"" WUXGA OLED Display - 16 GB Memory - 1 TB Storage - Luna Grey",877
Displays & Mounting,monitor,Mainstream,New,True,Current-Gen,ASUS,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,QHD_1440p,,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XG32WCS,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"ASUS ROG Strix 32” 1440P USB-C Curved HDR Gaming Monitor (XG32WCS) - QHD, 180Hz, 1ms, Fast VA, Extreme Low Motion Blur Sync, FreeSync, DisplayWidget, Tripod Socket, AI Technology, 3 yr Warranty",878
"Office, Printing & Power",surge_protector,Mainstream,New,False,Current-Gen,Tripp Lite,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gpt-4o-mini,"Tripp Lite 3 Outlet Portable Surge Protector Power Strip, Direct Plug in, 2 USB, & $5,000 Insurance (SK30USB) Black",879
