category,subtype,market_tier,condition,is_premium_brand,tech_generation,brand,confidence,printer_tech,is_color,is_multifunction,paper_size_max,ppm,pack_count,is_xl,ups_capacity_value,ups_capacity_unit,is_rackmount,rack_u,power_capacity_value,power_capacity_unit,audio_channels,total_power_w,has_dolby_atmos,has_subwoofer,has_anc,form_factor,mic_type,audio_resolution,video_output_res,switch_type,dpi,has_screen,is_thunderbolt,max_resolution,read_speed_mbs,scan_engine,wifi_standard,speed_class,node_count,frequency_bands,has_poe,multi_gig_ports,power_source,smart_protocol,is_outdoor,screen_size_in,resolution_standard,panel_tech,refresh_rate_hz,is_smart,mount_type,adjustment_type,num_screens,max_weight_kg,is_heavy_duty,sensor_format,max_video_res,is_body_only,mount_system,megapixels,is_pro_line,focal_range,max_aperture_f,is_kit,component_series,vram_gb,has_x3d,ram_gb,storage_gb,tech_gen,power_wattage,efficiency_rating,chipset,is_aio,is_gaming,platform_family,is_digital_edition,nas_bays,model_name,cellular_type,has_stylus,case_size_mm,is_rugged,is_specialized,gps_activity,has_touchscreen,cable_length_m,interface_type,is_braided,material,brand_compatibility,is_active,is_original,connector_gender,is_wireless,port_count,storage_type,pd_wattage,case_keyboard,product_rating,is_best_seller,is_sponsored,buy_box_availability,sustainability_tags,has_coupon,discount_percentage,log_original_price,log_purchased_last_month,log_total_reviews,brand_subtype
"Office, Printing & Power",battery,Mainstream,New,False,Legacy,Energizer,0.95,,,,,,,,,,,,,mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.7,No Badge,Organic,1,0,0,0.0,2.3085671646715933,7.601402334583733,7.259116128097101,Energizer_battery
Peripherals & Input,keyboard,Mainstream,New,True,Current-Gen,Elgato,0.95,,,,,,,,,,,,,,,,,,,,,,,Mechanical,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.6,No Badge,Organic,1,0,0,0.0,4.6150215020384655,6.2166061010848646,6.498282149476434,Elgato_keyboard
Peripherals & Input,keyboard,Mainstream,New,True,Current-Gen,Corsair,0.95,,,,,,,,,,,,,,,,,,,,,,,Mechanical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,False,,,,False,4.4,No Badge,Organic,0,0,0,0.0,5.131613220649158,5.303304908059076,8.39615486303918,Corsair_keyboard
PC Components (Core),hdd_internal,Mainstream,New,True,Current-Gen,Western Digital,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WD Red Pro,,,,20480.0,,,,,,,,,,WD201KFGX,,,,,,,,,SATA 6 Gb/s,,,,,,,,,HDD,,False,4.4,No Badge,Organic,1,0,0,0.0,6.042609080431154,4.61512051684126,8.200837258379849,Western Digital_hdd_internal
Mobile Devices,smartwatch,Mainstream,New,False,Current-Gen,Military,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.1,No Badge,Organic,1,1,0,0.0,4.110709916308365,6.2166061010848646,7.61972421378267,Military_smartwatch
PC Components (Core),cpu,Mainstream,New,True,Current-Gen,AMD,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryzen 9 9900X3D,,True,,,Gen5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.5,No Badge,Organic,0,0,0,0.0,6.396929655216146,4.61512051684126,4.532599493153256,AMD_cpu
Peripherals & Input,dock_hub,Mainstream,New,False,Current-Gen,UGREEN,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB-C 3.2,,,,,,,,,,100.0,False,4.4,No Badge,Organic,0,0,0,0.33,4.110709916308365,6.2166061010848646,7.30854279753919,UGREEN_dock_hub
Computers & Gaming,laptop,Mainstream,New,False,Current-Gen,Dell,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi_6_AX,,,,,,,,,15.6,FHD_1080p,,,,,,,,,,,,,,,,,,i7-1255U,,,32.0,1024.0,,,,,,,,,,Inspiron 3520,,,,,,,,,,,,,,,,,,SSD,,False,4.1,No Badge,Organic,0,0,0,0.0,6.001414877961151,5.303304908059076,5.049856007249537,Dell_laptop
"Office, Printing & Power",printer,Mainstream,New,False,Current-Gen,HP,0.95,Laser,False,True,A4,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,False,4.1,No Badge,Organic,0,1,0,0.0,5.195232038464711,5.707110264748875,6.257667587882639,HP_printer
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,EPSON,0.95,,True,,,,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"WorkForce WF-2630, WF-2650, WF-2660, WF-2750, WF-2760, Expression XP-320, XP-420, XP-424",,,,,,,,False,4.6,No Badge,Organic,1,0,0,0.0,3.4610373820181723,6.803505257608338,8.83811659764782,EPSON_toner_ink
Accessories,mount_small,Mainstream,New,True,Current-Gen,GoPro,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.8,No Badge,Organic,1,0,0,0.0,3.5201649007261984,6.2166061010848646,6.16541785423142,GoPro_mount_small
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,Scotch,0.9,,,,A4,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.7,No Badge,Organic,1,0,0,0.0,1.8931119634883424,7.601402334583733,8.711772645605693,Scotch_toner_ink
"Cameras, Photography & Video",lens,Mainstream,New,True,Current-Gen,Canon,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Zoom,2.0,,,,,,,,,,,,,,,,RF28-70mm F2 L USM,,,,,,,,,,,,,,,,,,,,False,4.8,No Badge,Organic,1,0,0,0.06,8.131530710604252,3.9318256327243257,5.749392985908253,Canon_lens
Audio & Media Systems,earbuds,Mainstream,New,False,Current-Gen,JLab,0.95,,,,,,,,,,,,,,,,,,,in-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,False,4.4,No Badge,Organic,0,0,0,0.0,2.63834278867739,6.90875477931522,10.92255145577777,JLab_earbuds
Audio & Media Systems,blu_ray_player,Mainstream,New,False,Current-Gen,Philips,0.9,,,,,,,,,,,,,,,,,,,,,,1080p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.4,No Badge,Organic,1,0,0,0.21,4.262539022051294,6.2166061010848646,7.009408932708637,Philips_blu_ray_player
Accessories,strap_grip,Mainstream,New,False,Legacy,VELCRO Brand,0.9,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.6,No Badge,Organic,1,0,0,0.26,2.39698576841553,6.90875477931522,6.785587645007929,VELCRO Brand_strap_grip
Computers & Gaming,laptop,Premium,New,True,Current-Gen,ASUS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi_6E_AXE,,,,,,,,,16.0,QHD_1440p,,240.0,,,,,,,,,,,,,,,,i9-14900HX + RTX 4060,,,16.0,1024.0,DDR5,,,,,True,,,,G614JVR-ES94,,,,,,,,,,,,,,,,,,SSD,,False,4.0,No Badge,Organic,1,0,0,0.06,7.438965713483813,3.9318256327243257,5.659482215759621,ASUS_laptop
Audio & Media Systems,headphones,Mainstream,New,True,Current-Gen,HyperX,0.95,,,,,,,,,,,,,,,,,,,over-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,True,,,,False,4.4,No Badge,Organic,0,0,0,0.0,4.012772908528289,6.2166061010848646,10.456107497959096,HyperX_headphones
"Office, Printing & Power",ups,Mainstream,New,False,Current-Gen,Amazon Basics,0.95,,,,,,,,,,,,15.0,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,False,4.6,No Badge,Organic,1,0,0,0.0,2.6239436918052106,6.90875477931522,6.716594773520978,Amazon Basics_ups
"Office, Printing & Power",printer,Mainstream,New,False,Current-Gen,Zebra,0.9,Thermal,False,False,A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.2,No Badge,Organic,1,0,0,0.14,6.142187931892113,4.61512051684126,4.290459441148391,Zebra_printer
"Office, Printing & Power",toner_ink,Mainstream,New,True,Current-Gen,EPSON,0.95,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.6,No Badge,Organic,1,0,0,0.0,4.201553368737545,6.55250788703459,8.118207049405783,EPSON_toner_ink
PC Components (Core),motherboard,Mainstream,New,False,Current-Gen,ASRock,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMD Ryzen X870,,,256.0,,DDR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.2,No Badge,Organic,0,0,0,0.0,5.761390787276515,5.303304908059076,5.983936280687191,ASRock_motherboard
"Office, Printing & Power",calculator,Mainstream,New,False,Legacy,Texas Instruments,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.7,No Badge,Organic,0,0,0,0.0,2.8320361808832013,6.803505257608338,4.795790545596741,Texas Instruments_calculator
"Office, Printing & Power",calculator,Mainstream,New,False,Current-Gen,Casio,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.4,No Badge,Organic,1,0,0,0.0,3.2756341586868096,6.803505257608338,8.350666240520924,Casio_calculator
Networking & Smart Home,smart_sensor,Mainstream,New,False,Current-Gen,SimpliSafe,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Battery,WiFi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.7,No Badge,Organic,1,0,0,0.0,3.7133281345162463,6.2166061010848646,7.239932591320469,SimpliSafe_smart_sensor
"Cameras, Photography & Video",digital_camera,Mainstream,New,False,Current-Gen,KODAK,0.95,,,,,,,,,,,,,,,,,,,,,,1080p,,,True,,,,,,,,,,,,,,3.0,,,,,,,,,,,1080p,,,20.0,,,,,,,,,,,,,,,,,,,PIXPRO AZ405-BK,,,,,,,,,,,,,,,,,,,,False,4.1,No Badge,Organic,1,0,0,0.0,5.247024072160486,5.707110264748875,7.093404625868766,KODAK_digital_camera
Audio & Media Systems,microphone,Mainstream,New,False,Current-Gen,HyperX,0.95,,,,,,,,,,,,,,,,,,,,condenser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.5,No Badge,Organic,1,0,0,0.27,5.017213609456379,6.2166061010848646,5.786897381366708,HyperX_microphone
Mobile Devices,smartwatch,Mainstream,New,True,Current-Gen,Garmin,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forerunner 570,,,42.0,,,,True,,,,,,,,,True,,,,False,4.3,No Badge,Organic,1,0,0,0.0,6.311716660167896,5.303304908059076,4.04305126783455,Garmin_smartwatch
Peripherals & Input,mouse,Mainstream,New,False,Current-Gen,Logitech,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,False,4.6,No Badge,Organic,1,1,0,0.0,3.58324112209094,6.2166061010848646,10.575079070130355,Logitech_mouse
Audio & Media Systems,microphone,Mainstream,New,False,Current-Gen,Pyle,0.95,,,,,,,,,,,,,,,,,,,,dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.4,No Badge,Organic,1,0,0,0.0,3.433664571799657,6.803505257608338,8.209852481301272,Pyle_microphone
Audio & Media Systems,headphones,Mainstream,New,False,Current-Gen,Fractal Design,0.9,,,,,,,,,,,,,,,,,,,over-ear,dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,True,,,,False,4.6,No Badge,Organic,1,0,0,0.0,5.30325515557766,5.707110264748875,2.3978952727983707,Fractal Design_headphones
PC Components (Core),ram,Mainstream,New,True,Current-Gen,CORSAIR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDR5,,,128.0,,DDR5,,,,,,,,,Vengeance DDR5,,,,,,,,,,,,,,,,,,,,False,5.0,No Badge,Organic,1,0,0,0.1,5.924229059089152,4.61512051684126,1.3862943611198906,CORSAIR_ram
Computers & Gaming,laptop,Mainstream,New,False,Current-Gen,HP,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,FHD_1080p,,,,,,,,,,,,,,,,,,AMD Ryzen AI 7 350,,,16.0,1024.0,,,,,,,,,,Omnibook 5,,,,,,,True,,,,,,,,,,,,,False,4.6,No Badge,Organic,1,0,0,0.14,6.684611727667927,4.61512051684126,1.9459101490553128,HP_laptop
"Office, Printing & Power",surge_protector,Mainstream,New,False,Current-Gen,Philips,0.95,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.7,No Badge,Organic,1,0,0,0.0,2.9069010598473755,6.90875477931522,9.827470066112213,Philips_surge_protector
Computers & Gaming,laptop,Premium,New,True,Current-Gen,ASUS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,QHD_1440p,,240.0,,,,,,,,,,,,,,,,Intel Core Ultra 9 275HX + NVIDIA GeForce RTX 5070 Ti,,,32.0,1024.0,DDR5,,,,,True,,,,ROG Strix Scar 18,,,,,,,,,,,,,,,,,,SSD,,False,4.2,No Badge,Organic,0,0,0,0.0,7.890960457246773,4.61512051684126,5.135798437050262,ASUS_laptop
Mobile Devices,gps_navigator,Mainstream,New,True,Current-Gen,Garmin,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DriveSmart 86,,,,,True,Automotive,True,,,,,,,,,,,,,False,4.3,No Badge,Organic,0,0,0,0.0,5.937325101007334,5.707110264748875,7.895063498091573,Garmin_gps_navigator
Mobile Devices,smartwatch,Premium,New,True,Current-Gen,Garmin,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tactix 8,,,,,,,,,,,,,,,,,,,,False,4.4,No Badge,Organic,1,0,0,0.0,7.378377466881018,4.61512051684126,3.258096538021482,Garmin_smartwatch
Accessories,cable,Mainstream,New,True,Current-Gen,Belkin,0.95,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,USB-C,True,Plastic,"iPhone, Galaxy, Pixel, MacBook, Chromebook, iPad Pro, Switch",False,True,M-to-M,False,,,240.0,False,4.7,No Badge,Organic,1,0,0,0.06,3.177637076851603,6.90875477931522,4.90527477843843,Belkin_cable
Peripherals & Input,mouse,Mainstream,New,True,Current-Gen,Logitech,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,False,4.5,No Badge,Organic,1,0,0,0.1,4.6150215020384655,5.993961427306569,6.533788837933344,Logitech_mouse
Mobile Devices,smartwatch,Premium,Renewed/Refurbished,True,Current-Gen,Apple,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple Watch Series 8,LTE/4G,,45.0,,,,,,,,,,,,,,,,,False,4.3,No Badge,Organic,0,0,0,0.13,5.262690188904886,5.707110264748875,6.93828448401696,Apple_smartwatch
Accessories,screen_protector,Mainstream,New,False,Current-Gen,ESR,0.95,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.2,No Badge,Organic,1,0,0,0.0,2.39698576841553,6.90875477931522,8.834336974017637,ESR_screen_protector
"Office, Printing & Power",battery,Mainstream,New,True,Legacy,Canon,0.9,,,,,,,,,,,,1040.0,mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.8,No Badge,Organic,0,0,0,0.0,4.248495242049359,5.707110264748875,8.677950570294351,Canon_battery
Displays & Mounting,monitor,Mainstream,New,False,Current-Gen,Acer,0.95,,,,,,,,,,,,,,,,,,,,,,4K_UHD,,,,,4K60,,,,,,,,,,,,27.0,4K_UHD,,160.0,,,,,,,,4K,,,,,,,,,,,,,,,,,,,,,,VG270K V4bmiipx,,,,,,,,,Display Port 1.4 & HDMI 2.1,,,,,,,,,,,False,4.2,No Badge,Organic,1,0,0,0.09,5.860757733031528,5.303304908059076,6.152732694704104,Acer_monitor
"Office, Printing & Power",calculator,Mainstream,New,False,Current-Gen,Texas Instruments,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.6,No Badge,Organic,0,0,0,0.0,2.3960754360813845,6.68586094706836,6.98933526597456,Texas Instruments_calculator
Displays & Mounting,projector,Mainstream,New,False,Current-Gen,Hisense,0.95,,,,,,,,,,,,,,,,True,,,,,,4K_UHD,,,,,,,,,,,,,,,,,150.0,4K_UHD,,240.0,True,,,,,,,4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.5,No Badge,Organic,1,0,0,0.0,8.160223918452681,3.9318256327243257,3.8918202981106265,Hisense_projector
Accessories,adapter,Mainstream,New,False,Current-Gen,UGREEN,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB,,,,,,M-to-F,True,,,,False,4.5,No Badge,Organic,1,0,0,0.31,2.63834278867739,6.90875477931522,5.926926025970411,UGREEN_adapter
Displays & Mounting,projector,Mainstream,New,False,Current-Gen,Hisense,0.95,,,,,,,,,,,,,,,,,,,,,,4K_UHD,,,,,,,,,,,,,,,,,65.0,4K_UHD,,,,,,,,,,4K,,,,,,,,,,,,,,,,,,,,,,C2 Ultra,,,,,,,,,,,,,,,,,,,,False,4.5,No Badge,Organic,1,0,0,0.0,7.823633925960974,3.9318256327243257,4.948759890378168,Hisense_projector
Peripherals & Input,keyboard,Mainstream,New,False,Current-Gen,HP,0.95,,,,,,,,,,,,,,,,,,,,,,,Membrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,False,4.4,No Badge,Organic,0,0,0,0.0,2.8898160479624417,6.2166061010848646,7.722234744709607,HP_keyboard
"Office, Printing & Power",charger,Mainstream,New,True,Current-Gen,Belkin,0.95,,,,,,,,,,,,15.0,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,15.0,False,4.3,No Badge,Sponsored,1,0,0,0.15,4.6150215020384655,6.2166061010848646,6.597145701886651,Belkin_charger
Audio & Media Systems,soundbar,Mainstream,New,False,Current-Gen,TCL,0.95,,,,,,,,,,,,,,2.1,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.6,No Badge,Organic,0,0,0,0.0,4.262539022051294,6.2166061010848646,4.770684624465665,TCL_soundbar
PC Components (Core),psu,Mainstream,New,False,Current-Gen,Thermaltake,0.95,,,,,,,,,,,,750.0,W,,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80_Plus_Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.5,No Badge,Organic,1,0,0,0.11,4.5107496103686,5.993961427306569,8.08487062913819,Thermaltake_psu
"Office, Printing & Power",charger,Mainstream,New,True,Current-Gen,Belkin,0.95,,,,,,,,,,,,40.0,W,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,40.0,False,4.4,No Badge,Sponsored,1,0,1,0.0,4.795707897553386,6.90875477931522,8.166500319155052,Belkin_charger
Computers & Gaming,mini_pc,Mainstream,Renewed/Refurbished,False,Current-Gen,Lenovo,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i7-6700T,,,32.0,1024.0,Gen3,,,,,,,,,ThinkCentre M910Q,,,,,,,,,,,,,,,,,,NVMe,,False,4.0,No Badge,Organic,0,0,0,0.0,5.3518107389880365,5.303304908059076,6.499787040655854,Lenovo_mini_pc
Displays & Mounting,mount_arm,Mainstream,New,False,Current-Gen,VIVO,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,,,desk_arm,,1.0,20.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.5,No Badge,Organic,1,0,1,0.11,4.5107496103686,5.993961427306569,7.691200097522863,VIVO_mount_arm
Peripherals & Input,handheld_gaming,Mainstream,New,False,Current-Gen,Turtle Beach,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.1,No Badge,Organic,0,0,0,0.0,5.966992535183494,5.303304908059076,7.684783943522785,Turtle Beach_handheld_gaming
Audio & Media Systems,earbuds,Mainstream,New,False,Current-Gen,Anker,0.95,,,,,,,,,,,,,,,,True,,True,in-ear,condenser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,False,4.2,No Badge,Organic,0,1,0,0.0,4.875120984409557,6.2166061010848646,6.329720905522696,Anker_earbuds
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,HP,0.9,,,,A4,,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.5,No Badge,Organic,1,0,0,0.0,3.8709926558701535,6.398594934535208,6.621405651764134,HP_toner_ink
Accessories,adapter,Mainstream,New,False,Current-Gen,Google,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB-C,,,Type-C Phones,,,M-to-M,False,,,,False,4.4,No Badge,Organic,1,0,0,0.05,3.417726683613366,6.2166061010848646,5.068904202220232,Google_adapter
Audio & Media Systems,headphones,Mainstream,New,True,Current-Gen,JBL,0.95,,True,,,,,,,,,,,,,,,,True,on-ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,False,4.5,No Badge,Organic,0,0,0,0.0,4.18950321539533,6.2166061010848646,6.833031732786201,JBL_headphones
PC Components (Core),cpu,Mainstream,New,True,Current-Gen,Intel,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i5-14600KF,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,False,4.7,No Badge,Organic,1,0,0,0.0,5.286194176745726,5.303304908059076,5.583496308781699,Intel_cpu
Audio & Media Systems,audio_interface,Mainstream,New,False,Current-Gen,TASCAM,0.95,,,,,,,,,,,,,,2.0,,,,,,condenser,,,,,,,,,,,,,,,,Wired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB,,,,,,,,,,,False,4.5,Best Seller,Organic,0,0,0,0.0,5.049856007249537,5.707110264748875,7.150701457592526,TASCAM_audio_interface
PC Components (Core),ram,Mainstream,New,True,Current-Gen,CORSAIR,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDR4,,,32.0,,DDR4,,,,,,,,,Vengeance SODIMM,,,,,,,,,,,,,,,,,,,,False,4.7,No Badge,Organic,1,0,0,0.0,4.454231010422805,5.707110264748875,8.204398418149381,CORSAIR_ram
Computers & Gaming,chromebook,Mainstream,New,False,Current-Gen,Acer,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WiFi_6E_AXE,,,,,,,,,14.0,FHD_1080p,,,,,,,,,,1080p,,,,,,,,Intel 8-Core i3-N305,,,8.0,512.0,,,,,,True,,,,Chromebook Plus 514,,,,,,,True,,,,,,,,,,,,,False,4.5,No Badge,Organic,0,0,0,0.0,5.598421958998375,5.303304908059076,3.737669618283368,Acer_chromebook
"Office, Printing & Power",toner_ink,Mainstream,New,False,Current-Gen,Brother,1.0,,True,,,,3.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4.6,No Badge,Organic,1,0,0,0.0,3.970103216504671,6.398594934535208,7.711101251840158,Brother_toner_ink
